sample_type	sample_origin	sample_freshness	sample_freezing	sample_id	capture_place	specimen_length	specimen_weight	specimen_id	specimen_family	specimen_species	capture_biome	capture_environment	specimen_development	specimen_sex	capture_latitude	capture_longitude	capture_country	specimen_order	specimen_class	capture_id	tax_group
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAU59	AddaNord	NA	400	SD00449	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	parklike habitat	Juvenile	Male	45.56	9.52	recrACkHppgdXdQse	Rodentia	Mammalia	SD0044901	Mammals
Tissue	Animal	< 1 minute	< 1 day	AKD41	NA	110	30.2	SD04460	Salamandridae	Salamandra salamandra gallaica	1000221 - Temperate woodland	Small stream with steep bank running through deciduous grove.	Adult	Male	41.29	-8.61	recAf61NgigHFbcBU	Urodela	Amphibia	SD0446001	Amphibians
Faecal	Housing	< 10 minutes	< 7 days	AFH38	NA	41	15	SD04009	Phyllostomidae	Carollia sowelli	1000197 - Broadleaf forest	In front of a stream	Adult	Male	15.2	-87.59	recQgqRtcmwo7Cea8	Chiroptera	Mammalia	SD0400901	Bats
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAC24	Rapadura	128	246.8	SD00195	Falconidae	Falco eleonorae	1000048 - Ocean	Island	Juvenile	Unknown	29.4	-13.49	recIUTmSxiyqoU5lQ	Falconiformes	Aves	SD0019505	Birds
Oral swab	Animal	< 1 minute	< 1 day	ABO57	Dumfries & Galloway	60	487	SD01656	Sciuridae	Sciurus carolinensis	1000198 - Mixed forest	Hardwood forest	Adult	Female	55.19	-3.85	recWNrlBagsRxnwjj	Rodentia	Mammalia	SD0165601	Mammals
Faecal	Trap	< 1 hour	< 1 day	AAQ16	NA	NA	1.17	SD03444	Salamandridae	Lissotriton helveticus	1000252 - Lake or pond	NA	Adult	Male	43.26	-2.15	recIUTmSxiyqoU5lQ	Urodela	Amphibia	SD0344401	Amphibians
Faecal	Trap	< 1 hour	< 1 day	ABQ70	NA	70	275	SD01857	Sciuridae	Sciurus vulgaris	1000197 - Broadleaf forest	Oak, ash, beech, hazel forest	Nursing	Female	53.3	-9.07	recRFp4BbEGSFTNHf	Rodentia	Mammalia	SD0185701	Mammals
Skin swab	Other	< 1 minute	< 7 days	AHI53	NA	NA	NA	SD02940	Bombinatoridae	Bombina variegata	1000248 - Dense settlement	Zoo	Adult	Unknown	45.83	16.02	rec2O52lSpnrJFgtK	Anura	Amphibia	SD0294001	Amphibians
Faecal	Animal	< 1 minute	< 1 day	ADM35	Tourmalet	96.36	1.73	SD00805	Lacertidae	Iberolacerta bonnali	1000194 - Montane grassland	rocks along montane road	Sub-adult	Male	42.92	0.14	recD0072mQhXdzBoy	Squamata	Reptilia	SD0080501	Reptiles
Faecal	Animal	< 1 minute	< 1 day	ADK27	Tourmalet	116.22	2.57	SD00871	Lacertidae	Podarcis muralis	1000194 - Montane grassland	NA	Adult	Female	42.93	0.2	recD0072mQhXdzBoy	Squamata	Reptilia	SD0087101	Reptiles
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAL71	NA	440	158	SD01561	Falconidae	Falco sparverius	1000221 - Temperate woodland	Open Field Grassland	Juvenile	Male	40.54	-76.07	recTM9xQvYOxMLTyY	Falconiformes	Aves	SD0156101	Birds
Anal/cloacal swab	Animal	< 1 minute	< 1 day	ACY09	NA	66.9	49.3	SD02610	Colubridae	Coronella girondica	1000199 - Mediterranean forest	NA	Adult	Unknown	40.92	-7.1	recAf61NgigHFbcBU	Squamata	Reptilia	SD0261001	Reptiles
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAN50	NA	NA	17	SD00145	Muridae	Apodemus sylvaticus	1000250 - Boreal forests	Mosaic of semi-natural forest, plantations, felled areas and heath	Adult	Male	57.19	-3.68	recWNrlBagsRxnwjj	Rodentia	Mammalia	SD0014501	Mammals
Skin swab	Animal	< 1 minute	< 21 days	AHO46	NA	44.35	8.5	SD03330	Bombinatoridae	Bombina sp.	1000198 - Mixed forest	Tire track	Adult	Male	47.94	19.94	recswsHtDSgulNghS	Anura	Amphibia	SD0333001	Amphibians
Oral swab	Animal	< 1 minute	< 14 days	AFW81	NA	NA	29.5	SD02105	Cricetidae	Peromyscus maniculatus	1000215 - Temperate shrubland	NA	Adult	Female	48.63	-123.29	recqcwTGBWEwznXMJ	Rodentia	Mammalia	SD0210501	Mammals
Faecal	Housing	< 1 minute	< 14 days	ACB26	NA	41.5	9.2	SD00480	Vespertilionidae	Plecotus auritus	1000221 - Temperate woodland	Mix Pine Oak Forest	Nursing	Female	40.62	-2.13	recIUTmSxiyqoU5lQ	Chiroptera	Mammalia	SD0048001	Bats
Blood	Animal	< 1 minute	< 7 days	AFI72	NA	19.1	12	SD04123	Tyrannidae	Mionectes oleagineus	1000197 - Broadleaf forest	In front of a stream	Adult	Unknown	15.2	-87.59	recQgqRtcmwo7Cea8	Passeriformes	Aves	SD0412301	Birds
Oral swab	Animal	< 1 minute	< 1 day	ADI88	Tourmalet	152.51	6.65	SD00860	Lacertidae	Podarcis muralis	1000246 - Village	cemetery	Adult	Male	42.96	0.25	recD0072mQhXdzBoy	Squamata	Reptilia	SD0086001	Reptiles
Faecal	Animal	< 1 minute	< 21 days	AFN23	NA	37.8	4.1	SD02027	Vespertilionidae	Myotis bocagii	1001803 - Tropical forest	River, forest	Juvenile	Female	1.11	11.15	reclcQpXVk25OgN5p	Chiroptera	Mammalia	SD0202701	Bats
Anal/cloacal swab	Animal	< 1 minute	< 1 day	ABB75	Torino	63	630	SD00411	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	parklike habitat	Adult	Male	45.06	7.69	recrACkHppgdXdQse	Rodentia	Mammalia	SD0041102	Mammals
Oral swab	Animal	< 1 minute	< 1 day	ADV14	GrottaMarelli	38.4	7.4	SD01737	Vespertilionidae	Myotis emarginatus	1000221 - Temperate woodland	mixed conifer-deciduous wood	Adult	Male	45.86	8.78	recrACkHppgdXdQse	Chiroptera	Mammalia	SD0173701	Bats
Skin swab: ventral	Animal	< 1 minute	< 1 day	AKE09	NA	60	4.3	SD03851	Salamandridae	Calotriton asper	1000253 - River or stream	NA	Adult	Male	43.03	-1.18	recIUTmSxiyqoU5lQ	Urodela	Amphibia	SD0385101	Amphibians
Anal/cloacal swab	Animal	< 10 minutes	< 3 days	ABT69	NA	83	21.8	SD01366	Phrynosomatidae	Sceloporus horridus	1001803 - Tropical forest	NA	Adult	Male	18.76	-98.17	recwKhnfLZNKSTGMp	Squamata	Reptilia	SD0136601	Reptiles
Faecal	Trap	< 1 hour	< 1 day	AAP83	NA	NA	1.84	SD03418	Salamandridae	Lissotriton helveticus	1000252 - Lake or pond	NA	Adult	Male	43.06	-2.4	recIUTmSxiyqoU5lQ	Urodela	Amphibia	SD0341801	Amphibians
Tissue	Animal	< 1 minute	< 1 day	ACK97	NA	52.7	28.6	SD02985	Vespertilionidae	Nyctalus noctula	1000245 - Cropland	At the cave entrance	Adult	Male	43.23	24.89	recIKcYqw1CyfqxgE	Chiroptera	Mammalia	SD0298501	Bats
Anal/cloacal swab	Animal	< 1 minute	< 1 day	ADE16	NA	NA	400	SD01886	Sciuridae	Sciurus vulgaris	1000196 - Coniferous forest	~2100h extent area of planted forest managed for timber and resin; forest patches also covered with invasive sepcies (Acacia)	Adult	Male	40.95	-8.65	recAf61NgigHFbcBU	Rodentia	Mammalia	SD0188603	Mammals
Anal/cloacal swab	Animal	< 1 minute	< 1 day	ACC87	NA	81	31.6	SD01953	Thraupidae	Paroaria gularis	1000252 - Lake or pond	Oxbow lake	Adult	Unknown	-12.43	-70.68	recBG9JQuOqHyhhMQ	Passeriformes	Aves	SD0195301	Birds
Skin swab	Animal	< 1 minute	< 21 days	AHO84	NA	40.87	7.5	SD03350	Bombinatoridae	Bombina sp.	1000198 - Mixed forest	Permanent pool	Adult	Male	47.99	19.96	recswsHtDSgulNghS	Anura	Amphibia	SD0335001	Amphibians
Faecal	Trap	< 6 hours	< 1 day	AEA43	NA	NA	860	SD02809	Dasyuridae	Dasyurus geoffroii	1000218 - Xeric shrubland	rocky	Adult	Female	-30.65	139.04	recKtBknH3LqSreF0	Dasyuromorphia	Mammalia	SD0280901	Mammals
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AGZ63	NA	NA	16.6	SD03199	Corvidae	Perisoreus infaustus	1000250 - Boreal forests or taiga	Forest	Juvenile	Unknown	65.68	19.2	recsoxFuQT1UqV2yf	Passeriformes	Aves	SD0319901	Birds
Anal/cloacal swab	Animal	< 10 minutes	< 3 days	ABU12	NA	94	40.8	SD01311	Phrynosomatidae	Sceloporus spinosus	1001803 - Tropical forest	Cropland and mixed forest	Adult	Female	19.41	-98.16	recwKhnfLZNKSTGMp	Squamata	Reptilia	SD0131101	Reptiles
Faecal	Animal	< 1 minute	< 1 day	ABH78	NA	76	9.64	SD01017	Lacertidae	Podarcis pityusensis	1000215 - Temperate shrubland	Shrubs and dunes in a coastal natural park	Unknown	Male	38.74	1.43	recIUTmSxiyqoU5lQ	Squamata	Reptilia	SD0101701	Reptiles
Faecal	Housing	< 6 hours	< 3 days	ABC90	NA	106.6	36.9	SD01469	Lacertidae	Lacerta viridis	1000247 - Rangeland	shrubland at city edge	Adult	Male	43.86	18.45	recPWJe1moDn1iat5	Squamata	Reptilia	SD0146901	Reptiles
Tissue	Animal	< 1 minute	< 14 days	AHA70	NA	46	2.28	SD04256	Lacertidae	Podarcis cretensis	1000215 - Temperate shrubland	islet (peninsula)	Adult	Female	35.27	23.52	rec8ZSYhXQpuQrkxi	Squamata	Reptilia	SD0425601	Reptiles
Tissue	Animal	< 1 minute	< 3 days	ABS41	NA	63.5	340	SD01509	Sciuridae	Sciurus vulgaris	1000197 - Broadleaf forest	Broadleaf forest 	Adult	Male	42.91	143.19	recUFOFTQQCc0Urlo	Rodentia	Mammalia	SD0150901	Mammals
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAN17	NA	NA	15	SD00134	Cricetidae	Myodes glareolus	1000250 - Boreal forests	Mosaic of semi-natural forest, plantations, felled areas and heath	Juvenile	Female	57.19	-3.68	recWNrlBagsRxnwjj	Rodentia	Mammalia	SD0013401	Mammals
Faecal	Animal	< 1 minute	< 21 days	ABL90	NA	47	2.68	SD00529	Lacertidae	Podarcis liolepis	1000221 - Temperate woodland	Village	Adult	Male	42.48	0.71	recIUTmSxiyqoU5lQ	Squamata	Reptilia	SD0052901	Reptiles
Faecal	Animal	< 1 minute	< 3 days	ADJ77	Tourmalet	105.06	2.29	SD00892	Lacertidae	Iberolacerta bonnali	1000194 - Montane grassland	NA	Adult	Female	42.92	0.14	recD0072mQhXdzBoy	Squamata	Reptilia	SD0089201	Reptiles
Blood	Animal	< 1 minute	< 1 day	AAY67	Montpellier	16.7	20.4	SD00067	Passeridae	Passer montanus	1000248 - Dense settlement	Field experiments on CNRS campus, north of the city of Montpellier	Adult	Unknown	43.64	3.86	recD0072mQhXdzBoy	Passeriformes	Aves	SD0006701	Birds
Faecal	Animal	< 30 minutes	< 14 days	AAH75	Bòfia de Sant Jaume	37.1	4.9	SD00022	Rhinolophidae	Rhinolophus hipposideros	1000221 - Temperate woodland	Cave	Adult	Male	42.07	1.68	recIUTmSxiyqoU5lQ	Chiroptera	Mammalia	SD0002201	Bats
Faecal	Trap	< 3 hours	< 1 day	AAV89	Golasecca	53	320	SD00297	Sciuridae	Sciurus vulgaris	1000221 - Temperate woodland	oak-hornbeam-chestnut forest	Adult	Male	45.69	8.66	recrACkHppgdXdQse	Rodentia	Mammalia	SD0029702	Mammals
Tissue	Animal	< 1 minute	< 1 day	ABA26	Pineta	NA	320	SD00311	Sciuridae	Sciurus vulgaris	1000221 - Temperate woodland	mixed conifer-deciduous wood	Adult	Male	45.76	8.9	recrACkHppgdXdQse	Rodentia	Mammalia	SD0031101	Mammals
Stomach mucosa	Animal	NA	NA	AIG54	4.1 mi N of Brooker	NA	NA	SD02954	Cathartidae	Cathartes aura	NA	NA	Adult	Male	29.95	-82.32	recTM9xQvYOxMLTyY	Accipitriformes	Aves	SD0295401	Birds
Faecal	Animal	< 30 minutes	< 14 days	AAH43	Cova d'Anes	41.4	6.2	SD00039	Vespertilionidae	Myotis escalerai	1000221 - Temperate woodland	Cave	Adult	Male	42.38	1.76	recIUTmSxiyqoU5lQ	Chiroptera	Mammalia	SD0003901	Bats
Anal/cloacal swab	Animal	< 1 minute	< 1 day	ABB98	Calusco	57	260	SD00460	Sciuridae	Sciurus vulgaris	1000221 - Temperate woodland	riparian woodland	Adult	Male	45.68	9.46	recrACkHppgdXdQse	Rodentia	Mammalia	SD0046002	Mammals
Tissue	Animal	< 10 minutes	< 1 day	ABX05	NA	366	378.1	SD02688	Sciuridae	Sciurus vulgaris	1000197 - Broadleaf forest	urban park with lawns and several broadleaf trees, partly standing together in groups, small woods	Adult	Female	52.49	13.47	recVYUv3aeAtg7Vdd	Rodentia	Mammalia	SD0268801	Mammals
Tissue	Animal	< 1 minute	< 14 days	AHC26	NA	70	6.73	SD04322	Lacertidae	Podarcis gaigeae	1000215 - Temperate shrubland	islet	Adult	Female	38.83	24.43	rec8ZSYhXQpuQrkxi	Squamata	Reptilia	SD0432201	Reptiles
Faecal	Animal	< 10 minutes	< 1 day	AGZ18	NA	NA	74.6	SD03202	Corvidae	Perisoreus infaustus	1000250 - Boreal forests or taiga	Forest	Juvenile	Unknown	65.67	19.23	recsoxFuQT1UqV2yf	Passeriformes	Aves	SD0320202	Birds
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAC57	Ladera sur	217	320	SD00275	Falconidae	Falco eleonorae	1000048 - Ocean	Island	Juvenile	Unknown	29.39	-13.53	recIUTmSxiyqoU5lQ	Falconiformes	Aves	SD0027501	Birds
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAB79	Rapadura	65	190	SD00197	Falconidae	Falco eleonorae	1000048 - Ocean	Island	Juvenile	Unknown	29.4	-13.49	recIUTmSxiyqoU5lQ	Falconiformes	Aves	SD0019702	Birds
Anal/cloacal swab	Animal	< 1 minute	< 1 day	ABO12	Dumfries & Galloway	55	462	SD01653	Sciuridae	Sciurus carolinensis	1000198 - Mixed forest	Hardwood forest	Adult	Male	55.19	-3.85	recWNrlBagsRxnwjj	Rodentia	Mammalia	SD0165301	Mammals
Faecal	Trap	< 3 hours	< 1 day	AEM20	Varese	56	260	SD01794	Sciuridae	Sciurus vulgaris	1000221 - Temperate woodland	mixed conifer-deciduous wood	Adult	Female	45.8	8.85	recrACkHppgdXdQse	Rodentia	Mammalia	SD0179402	Mammals
Faecal	Trap	< 3 hours	< 1 day	ADV31	Golasecca	58	360	SD01703	Sciuridae	Sciurus vulgaris	1000221 - Temperate woodland	oak-hornbeam-chestnut forest	Adult	Male	45.69	8.66	recrACkHppgdXdQse	Rodentia	Mammalia	SD0170302	Mammals
Faecal	Animal	< 1 minute	< 14 days	AHC09	NA	58	5.49	SD04336	Lacertidae	Podarcis milensis	1000215 - Temperate shrubland	town	Adult	Male	36.76	24.53	rec8ZSYhXQpuQrkxi	Squamata	Reptilia	SD0433601	Reptiles
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAY33	Montpellier	20.5	18	SD00114	Paridae	Parus major	1000248 - Dense settlement	Field experiments on CNRS campus, north of the city of Montpellier	Adult	Male	43.64	3.86	recD0072mQhXdzBoy	Passeriformes	Aves	SD0011401	Birds
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAP74	NA	NA	1.71	SD03432	Salamandridae	Lissotriton helveticus	1000252 - Lake or pond	NA	Adult	Male	43.29	-2.05	recIUTmSxiyqoU5lQ	Urodela	Amphibia	SD0343201	Amphibians
Tissue	Animal	< 1 minute	< 14 days	AGJ47	NA	46.6	13.82	SD02220	Miniopteridae	Miniopterus schreibersii	1000199 - Mediterranean forest	Mine roost monitoring	Adult	Female	41.95	2.59	recIUTmSxiyqoU5lQ	Chiroptera	Mammalia	SD0222001	Bats
Tissue	Animal	< 1 minute	< 14 days	AHE89	NA	76	10.79	SD04381	Lacertidae	Podarcis pityusensis	1000215 - Temperate shrubland	islet	Adult	Male	38.96	1.2	recIUTmSxiyqoU5lQ	Squamata	Reptilia	SD0438101	Reptiles
Faecal	Ground	< 30 minutes	< 14 days	AGC48	NA	NA	NA	SD03170	Canidae	Canis familiaris	1001625 - Polar Tundra	NA	Juvenile	Male	70.3	-21.95	recLVY3Rb8dPMd92q	Carnivora	Mammalia	SD0317001	Mammals
Faecal	Trap	< 3 hours	< 1 day	ABB76	Torino	63	630	SD00411	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	parklike habitat	Adult	Male	45.06	7.69	recrACkHppgdXdQse	Rodentia	Mammalia	SD0041102	Mammals
Faecal	Trap	< 1 hour	< 1 day	AAQ17	NA	NA	1.38	SD03443	Salamandridae	Lissotriton helveticus	1000252 - Lake or pond	NA	Adult	Male	43.26	-2.15	recIUTmSxiyqoU5lQ	Urodela	Amphibia	SD0344301	Amphibians
Tissue	Animal	< 1 minute	< 1 day	AHV96	NA	63	1.6	SD03588	Lacertidae	Podarcis sp.	1000199 - Mediterranean forest	NA	Adult	Male	40.88	-8.27	recAf61NgigHFbcBU	Squamata	Reptilia	SD0358801	Reptiles
Faecal	Animal	< 10 minutes	< 3 days	OPAU64	NA	NA	NA	SD00740	Vespertilionidae	Plecotus auritus	1000221 - Temperate woodland	Woodland	Adult	Female	51.76	-2.68	recWNrlBagsRxnwjj	Chiroptera	Mammalia	SD0074001	Bats
Tissue	Animal	< 1 minute	< 1 day	AAU77	Pineta	60.5	325	SD00415	Sciuridae	Sciurus vulgaris	1000221 - Temperate woodland	oak-hornbeam-chestnut forest	Adult	Female	45.78	8.91	recrACkHppgdXdQse	Rodentia	Mammalia	SD0041501	Mammals
Faecal	Housing	< 30 minutes	< 1 day	AFZ35	NA	22	24	SD03086	Muridae	Apodemus flavicollis	1000197 - Broadleaf forest	Beech and chesnut	Adult	Female	41.9	2.46	recIUTmSxiyqoU5lQ	Rodentia	Mammalia	SD0308601	Mammals
Anal/cloacal swab	Animal	< 1 minute	< 3 days	AEK07	NA	16.99	12.3	SD01069	Zosteropidae	Zosterops virens	1000221 - Temperate woodland	around a watering hole/pond	Adult	Unknown	-26.63	31.29	recPQH9S1Qzejfubo	Passeriformes	Aves	SD0106901	Birds
Faecal	Animal	< 1 minute	< 21 days	ABJ77	NA	60	4	SD00604	Lacertidae	Podarcis muralis	1000221 - Temperate woodland	Boulders and stone-walls	Unknown	Female	42.63	0.76	recIUTmSxiyqoU5lQ	Squamata	Reptilia	SD0060401	Reptiles
Faecal	Trap	< 3 hours	< 1 day	AAV28	commande	NA	620	SD00370	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	parklike habitat	Adult	Female	44.84	7.77	recrACkHppgdXdQse	Rodentia	Mammalia	SD0037002	Mammals
Anal/cloacal swab	Animal	< 1 minute	< 3 days	ABN68	Aberdeen	65	650	SD01661	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	Riparian hardwood 	Adult	Male	57.17	-2.13	recWNrlBagsRxnwjj	Rodentia	Mammalia	SD0166104	Mammals
Blood	Animal	< 1 minute	< 7 days	AFI12	NA	24.7	25.9	SD04112	Turdidae	Myadestes unicolor	1000197 - Broadleaf forest	In front of a stream	Adult	Unknown	15.2	-87.59	recQgqRtcmwo7Cea8	Passeriformes	Aves	SD0411201	Birds
Tissue	Animal	< 1 minute	< 1 day	ADD96	NA	NA	380	SD01883	Sciuridae	Sciurus vulgaris	1000248 - Dense settlement	34h extent park with an agricultural-forest landscape surrounded by dense urban area	Adult	Male	41.1	-8.56	recAf61NgigHFbcBU	Rodentia	Mammalia	SD0188301	Mammals
Tissue	Animal	< 1 minute	< 1 day	AAZ56	Torino	NA	580	SD00313	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	parklike habitat	Adult	Male	45.06	7.69	recrACkHppgdXdQse	Rodentia	Mammalia	SD0031301	Mammals
Anal/cloacal swab	Animal	< 1 minute	< 3 days	NSAP39	Donostia	NA	300	SD01161	Strigidae	Strix aluco	1000197 - Broadleaf forest	NA	Juvenile	Unknown	43.3	-1.94	recIUTmSxiyqoU5lQ	Strigiformes	Aves	SD0116101	Birds
Oral swab	Animal	< 1 minute	< 1 day	AAN05	NA	56	617	SD01586	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	City Park	Adult	Male	41.25	-75.89	recTM9xQvYOxMLTyY	Rodentia	Mammalia	SD0158601	Mammals
Tissue	Animal	< 1 minute	< 1 day	AKD26	NA	115	28.4	SD04445	Salamandridae	Salamandra salamandra gallaica	1000221 - Temperate woodland	Stone walls along a rural trail flanked by agrarian land.	Adult	Male	41.32	-8.73	recAf61NgigHFbcBU	Urodela	Amphibia	SD0444501	Amphibians
Pouch	Animal	< 1 minute	< 3 days	ACR76	NA	1029	26000	SD02933	Vombatidae	Lasiorhinus latifrons	1000218 - Xeric shrubland	Previously cropland	Adult	Female	-34.54	139.59	recKtBknH3LqSreF0	Diprotodontia	Mammalia	SD0293301	Mammals
Faecal	Animal	< 1 minute	< 1 day	ABH92	NA	69	8.89	SD01024	Lacertidae	Podarcis pityusensis	1000215 - Temperate shrubland	Shrubs and dunes in a coastal natural park	Unknown	Male	38.74	1.43	recIUTmSxiyqoU5lQ	Squamata	Reptilia	SD0102401	Reptiles
Tissue	Animal	< 1 minute	< 1 day	AHV02	NA	130	3.2	SD03557	Lacertidae	Podarcis sp.	1000199 - Mediterranean forest	NA	Adult	Male	40.87	-8.27	recAf61NgigHFbcBU	Squamata	Reptilia	SD0355701	Reptiles
Faecal	Animal	< 10 minutes	< 1 day	AGZ16	NA	NA	72.5	SD03201	Corvidae	Perisoreus infaustus	1000250 - Boreal forests or taiga	Forest	Juvenile	Unknown	65.67	19.23	recsoxFuQT1UqV2yf	Passeriformes	Aves	SD0320102	Birds
Anal/cloacal swab	Animal	< 1 minute	< 1 day	ABC17	Calusco	59	265	SD00450	Sciuridae	Sciurus vulgaris	1000221 - Temperate woodland	riparian woodland	Adult	Male	45.68	9.46	recrACkHppgdXdQse	Rodentia	Mammalia	SD0045001	Mammals
Anal/cloacal swab	Animal	< 1 minute	< 1 day	ABB28	Piobesi	60	540	SD00341	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	oak-hornbeam forest	Pregnant	Female	44.94	7.59	recrACkHppgdXdQse	Rodentia	Mammalia	SD0034103	Mammals
Tissue	Animal	< 1 minute	< 1 day	AHV42	NA	224	8	SD03641	Lacertidae	Psammodromus manuelae	1000199 - Mediterranean forest	NA	Adult	Female	40.91	-7.09	recAf61NgigHFbcBU	Squamata	Reptilia	SD0364101	Reptiles
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAN14	NA	NA	14	SD00133	Cricetidae	Myodes glareolus	1000250 - Boreal forests	Mosaic of semi-natural forest, plantations, felled areas and heath	Juvenile	Male	57.19	-3.68	recWNrlBagsRxnwjj	Rodentia	Mammalia	SD0013301	Mammals
Tissue	Animal	NA	NA	AIH96	7.8 mi N of Alice	NA	NA	SD02967	Cathartidae	Cathartes aura	NA	NA	Adult	Female	27.86	-98.05	recTM9xQvYOxMLTyY	Accipitriformes	Aves	SD0296701	Birds
Faecal	Animal	< 1 minute	< 1 day	AFS98	NA	63	25.6	SD03886	Vespertilionidae	Myotis myotis	1000245 - Cropland	At the cave entrance	Adult	Female	43.59	25.96	recIKcYqw1CyfqxgE	Chiroptera	Mammalia	SD0388601	Bats
Tissue	Animal	< 1 minute	< 1 day	AHU22	NA	303	27.4	SD03518	Lacertidae	Timon lepidus	1000199 - Mediterranean forest	NA	Sub-adult	Female	40.87	-8.27	recAf61NgigHFbcBU	Squamata	Reptilia	SD0351801	Reptiles
Anal/cloacal swab	Animal	< 1 minute	< 1 day	ACD29	NA	47	11	SD02468	Thamnophilidae	Isleria hauxwelli	1000252 - Lake or pond	Oxbow lake	NA	Male	-11.88	-71.41	recBG9JQuOqHyhhMQ	Passeriformes	Aves	SD0246801	Birds
Anal/cloacal swab	Animal	< 1 minute	< 1 day	ACD66	NA	85	29.2	SD02442	Thraupidae	Paroaria gularis	1000252 - Lake or pond	Oxbow lake	NA	Unknown	-11.88	-71.41	recBG9JQuOqHyhhMQ	Passeriformes	Aves	SD0244201	Birds
Tissue	Animal	< 1 minute	< 1 day	ABM26	NA	84	16.59	SD01048	Lacertidae	Podarcis pityusensis	1000215 - Temperate shrubland	Stone walls shrubs in coastal area	Unknown	Male	38.72	1.45	recIUTmSxiyqoU5lQ	Squamata	Reptilia	SD0104801	Reptiles
Faecal	Ground	NA	< 14 days	AGB92	NA	NA	NA	SD03167	Canidae	Canis familiaris	1001625 - Polar Tundra	NA	NA	Unknown	70.3	-21.95	recLVY3Rb8dPMd92q	Carnivora	Mammalia	SD0316701	Mammals
Colon contents	Animal	NA	NA	AIG37	4.1 mi N of Brooker	NA	NA	SD02952	Cathartidae	Cathartes aura	NA	NA	Juvenile	Female	29.95	-82.32	recTM9xQvYOxMLTyY	Accipitriformes	Aves	SD0295201	Birds
Faecal	NA	NA	NA	AFL08	NA	NA	NA	SD02246	Lacertidae	Podarcis pityusensis	1000215 - Temperate shrubland	NA	NA	Unknown	38.91	1.22	recIUTmSxiyqoU5lQ	Squamata	Reptilia	SD0224601	Reptiles
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AEU41	Gallarate	60	355	SD01808	Sciuridae	Sciurus vulgaris	1000221 - Temperate woodland	parklike habitat	Adult	Male	45.66	8.78	recrACkHppgdXdQse	Rodentia	Mammalia	SD0180801	Mammals
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAX82	Montpellier	22.3	15.4	SD00064	Muscicapidae	Phoenicurus ochruros	1000248 - Dense settlement	Field experiments on CNRS campus, north of the city of Montpellier	Adult	Unknown	43.64	3.86	recD0072mQhXdzBoy	Passeriformes	Aves	SD0006401	Birds
Oral swab	Animal	< 1 minute	< 1 day	ADL89	Sentein	159.54	4.93	SD00749	Lacertidae	Podarcis muralis	1000221 - Temperate woodland	rocks along montane road	Adult	Male	42.82	0.92	recD0072mQhXdzBoy	Squamata	Reptilia	SD0074901	Reptiles
Oral swab	Animal	< 1 minute	> 28 days	AFV87	NA	75.5	16	SD02046	Cricetidae	Peromyscus maniculatus	1001805 - Temperate forest	NA	Adult	Male	48.81	-123.51	recqcwTGBWEwznXMJ	Rodentia	Mammalia	SD0204601	Mammals
Faecal	Animal	< 1 minute	< 21 days	AFN16	NA	43.5	8	SD02020	Rhinolophidae	Rhinolophus landeri	1001803 - Tropical forest	Cave, forest, swamp	Adult	Male	1.11	11.26	reclcQpXVk25OgN5p	Chiroptera	Mammalia	SD0202001	Bats
Tissue	Animal	< 1 minute	< 14 days	AA96	NA	247	552	SD02145	Sciuridae	Sciurus carolinensis	1000197 - Broadleaf forest	NA	Adult	Male	53.2	-4.19	recWNrlBagsRxnwjj	Rodentia	Mammalia	SD0214501	Mammals
Anal/cloacal swab	Animal	< 1 minute	< 1 day	ABA02	Torino	NA	555	SD00309	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	parklike habitat	Adult	Female	45.06	7.69	recrACkHppgdXdQse	Rodentia	Mammalia	SD0030901	Mammals
Anal/cloacal swab	Animal	< 1 minute	< 1 day	ADV88	Gallarate	59	330	SD01770	Sciuridae	Sciurus vulgaris	1000221 - Temperate woodland	parklike habitat	Adult	Female	45.66	8.78	recrACkHppgdXdQse	Rodentia	Mammalia	SD0177001	Mammals
Oral swab	Animal	< 1 minute	< 1 day	ACH40	SaronnoScuolaElementare	51	21.6	SD01715	Vespertilionidae	Eptesicus serotinus	1000221 - Temperate woodland	parklike habitat	Adult	Female	45.62	9.04	recrACkHppgdXdQse	Chiroptera	Mammalia	SD0171501	Bats
